,Average
1068,113.32467346741669
1069,168.37655376703825
1070,119.45425370585777
1071,121.63392454127029
1072,197.12506899882754
1073,129.8830472644419
1074,109.6002404551371
1075,135.22758526099992
1076,50.09202791036583
1077,189.1360313974535
1078,162.2069150570788
1079,178.03604144593905
1080,165.91728269017148
1081,116.50896889770203
1082,151.27156878455418
1083,163.33071224982908
1084,126.79401367597816
1085,115.8797560046348
1086,161.91252420231515
1087,133.4428253746317
1088,170.26238509073121
1089,141.06626949736992
1090,151.11088422410236
1091,188.37035856289236
1092,193.47268008556085
1093,135.4667781384012
1094,156.54522392297946
1095,164.1782211496104
1096,203.7859370174165
1097,218.07924583200528
1098,183.38869739349417
1099,188.37035856289236
1100,176.82414626913214
1101,105.48138066382523
1102,161.4079778016401
1103,210.1206514261879
1104,167.61616353567265
1105,215.79791568076462
1106,182.72132411232548
1107,188.37036548559635
1108,178.961712373034
1109,161.47716116065493
1110,161.53796686025615
1111,161.05666513525068
1112,131.92029658241364
1113,163.70354564848716
1114,160.45175166826556
1115,177.27284853049298
1116,117.8631918036559
1117,95.76560292437034
1118,172.69396666419402
1119,161.227714907638
1120,133.94830556267965
1121,180.41718739336844
1122,218.0409324439192
1123,188.1857635944255
1124,188.41643203089933
1125,148.71750226422117
1126,185.90344051762494
1127,161.06406312940902
1128,134.3411476932384
1129,220.24567656639755
1130,153.19147249686657
1131,129.08838163316693
1132,121.69061045365463
1133,144.37742088586154
1134,102.28088980364035
1135,102.64609884819018
1136,106.53592226890252
1137,176.4891452382197
1138,188.40175622667923
1139,179.23116640872223
1140,147.8097423385334
1141,85.99942743993385
1142,119.52281089003782
1143,59.8825329263694
1144,57.3323168878655
1145,157.35052574924669
1146,164.96714233096188
1147,148.68421423388276
1148,147.80993344801792
1149,112.0378807221924
1150,30.208349500093902
1151,60.33623609524553
1152,106.53592226890252
1153,101.0506315773662
1154,208.32540003287164
1155,145.84462777940195
1156,147.66105025057624
1157,91.43878727090403
1158,133.63646384461777
1159,60.61811269776856
1160,57.35094334351991
1161,91.67912971049324
1162,102.58390064772615
1163,148.87884464274146
1164,147.56302529233227
1165,99.1609575712755
1166,83.03142491138361
1167,59.99413851204188
1168,46.867866857850736
1169,124.8886302394031
1170,136.36426525982637
1171,151.61750453561456
1172,148.04299406930585
1173,162.11005271615545
1174,19.603629933837695
1175,61.3920176956437
1176,57.40069030582008
1177,97.45893110513761
1178,157.48189541547234
1179,136.62246985550217
1180,148.3617633726473
1181,124.71958969240359
1182,114.17684514923285
1183,60.31913099244097
1184,56.972446733395905
1185,97.4588835157958
1186,180.47495606995187
1187,152.0162772318045
1188,148.92535314803465
1189,125.70340159615043
1190,131.70578812236184
1191,39.85550410141868
1192,56.56843799832863
1193,97.49061666015965
1194,135.3259368530043
1195,144.67415153748095
1196,146.42596290857637
1197,184.0621506502825
1198,131.84535937490097
1199,65.00903832122937
1200,57.205566753045275
1201,97.403518738813
1202,166.9285960104136
1203,145.59572455536184
1204,148.9538599455405
1205,124.79640789158452
1206,154.36751263140096
1207,73.1408181077421
1208,155.0789959908978
1209,133.7456359996194
1210,125.63690687915656
1211,135.75400357879525
1212,122.02481463133063
1213,124.49279571879819
1214,126.09719702356344
1215,123.76434886512511
1216,58.336824405819655
1217,134.19424144524305
1218,189.86738426796654
1219,142.17668384714233
1220,137.4856771454552
1221,193.16273964947098
1222,126.09719702356344
1223,83.2637646237841
1224,188.60921566856354
1225,97.84513133838301
1226,150.82784471434954
1227,181.789700800011
1228,151.37784674235002
1229,125.48852280188439
1230,161.96316885879372
1231,163.23454939237348
1232,37.45399370504069
1233,97.89286049121084
1234,189.86738426796654
1235,124.9970842732999
1236,157.82120453917656
1237,125.41628680081735
1238,161.67312447834644
1239,122.09770720457804
1240,131.44609877708743
1241,82.72523877973309
1242,189.78893697801402
1243,171.15133130020118
1244,166.51710283306335
1245,149.96723150476856
1246,166.5655312989015
1247,169.69217846584735
1248,159.56512981570287
1249,200.48933620673108
1250,191.5376418826671
1251,179.5366187782768
1252,202.4434180641683
1253,155.05898460283083
1254,166.75606901930922
1255,149.02517186491087
